Section_1,Section_2,Section_3,Text
Methods,Fixed and Variable Cost Classification,,"Intervention components were further categorized as fixed cost inputs (costs that do not change with the number of students enrolled in the school) or variable cost inputs (costs that increase with the number of students enrolled in the school). For example, activities related to peer leadership training or school food environment changes were generally considered fixed costs. Activities related to student-level marketing or water consumption were generally considered variable costs, as the amount distributed or consumed generally increased proportionally with the number of students enrolled in the school. Some costs associated with peer leaders, such as peer leader wristbands, varied with the number of peer educators involved in the program, but we categorized them as fixed from the perspective of students."
Methods,Fixed and Variable Cost Estimation,,"We estimated the cost of SNaX components from a school’s perspective using acquisition costs for materials and time and wage data for employees involved in implementing the program. We did not assign any cost to cafeteria employees for food preparation because the food component of the program was associated with routine lunchtime preparation activities, and we assumed it would not replace other productive activities. Our base case analysis assumes that manualized training of the SNaX program would be used to teach program facilitators (teachers already employed by the school). For these reasons, we did not include the cost of external program trainers in our analysis; however, the teachers’ training time contributed to overall program costs, as did the time teachers spent serving as program facilitators. Teacher wages were obtained from the LAUSD. In a sensitivity analysis, we substituted bulk purchasing prices from national vendors and used national estimates of median teacher and cafeteria worker wages from the United States Bureau of Labor Statistics. Detailed cost inputs for the primary analysis and the sensitivity analysis are provided in Appendix Table 1, and additional information about program materials are available at www.snaxinschools.org."
Methods,Program Cost-effectiveness,,"Cost-effectiveness analysis is a method for assessing the relative value of health programs.23 We derived the cost-effectiveness of SNaX implementation using the ratio of variable costs to program efficacy outcomes [(change in cost)/(change in effectiveness)], as compared to schools in the control group. We used variable costs because variable costs reflect the marginal cost of providing SNaX to one additional student, although fixed costs also contribute to economic decision-making.24 In particular, because our analysis targeted program implementation, it was economically appropriate to analyze fixed costs and variable costs separately.25 However, we also present average cost per student per outcome using a combination of fixed and variable costs. The efficacy outcomes, reported in detail elsewhere,22 included (1) portions of fruits and vegetables served; (2) number of free/reduced-price lunches served; (3) number of full-priced lunches served; (4) number of all lunches served; and (5) number of snacks sold. We calculated the mean change relative to the control group, while adjusting for baseline outcome value, school indicators, sociodemographic characteristics, BMI category, and NSLP-eligibility. Details of our regression models for efficacy outcomes are reported elsewhere.22"
Methods,Statistical Analysis,,We estimated standard errors and constructed 95% confidence intervals for cost-effectiveness ratios using a method that approximates the probability distribution of a function.26 We used a similar method to construct 95% confidence intervals for average cost-per-student estimates. The unit of analysis for cost-effectiveness estimates was the student. Schools in the control group were ascribed a cost of 0. All costs were converted to 2014 US dollars using the consumer price index for the first two quarters of the year.
Results,Student Characteristics,,"A total of 2,997 seventh-graders (75% of the 4,022 eligible seventh-graders across schools) completed pre- and post-intervention surveys assessing psychosocial variables. The mean (standard deviation) seventh grade class size and overall school size were 494 (124) and 1,515 (323), respectively, in intervention schools and 498 (88) and 1,524 (266) in control schools; the mean pooled enrollment was 1,520 students. The distribution of race/ethnicity was similar across intervention and control schools; overall, 14.2% of the children were Black, 74.7% were Hispanic, 5.7% were White, and 5.5% were Asian/Pacific Islander. Among 2,439 students who responded to our baseline survey, 20.8% were overweight and 30.2% were obese."
Results,Program Fixed and Variable Costs,,"Fixed and variable costs for intervention components are summarized in Table 1. Total fixed costs averaged $5,433.26 per school. Components requiring the greatest amount of investment included peer leader social marketing ($1,462.62 per school), school-wide multimedia marketing ($2,361.26 per school), and filtered water system maintenance ($1,504.95 per school, not including $359.94 in variable costs spent on disposable plastic cups). Total variable costs were $3,203.91 for 1,520 students for the five intervention schools in the study, or $2.11 per student. Because some items, such as pens, key chains, and pedometers, were not given to each student, the variable costs attributable to these items were weighted by the percentage of students who were recipients. Components accounting for the largest share of the program’s variable costs included parent take-home activity sheets ($0.83 per student), promotional wristbands ($0.44 per student), pen and key chain giveaways to students ($0.34 per student), and pedometer giveaways to students ($0.25 per student). Using the total cost, including fixed and variable costs, the program cost a total of $8,637.17, or $5.68 per student. This is equivalent to an average daily cost per student of $0.23 over the 5-week intervention."
Results,Cost-effectiveness,,"We evaluated the cost-effectiveness of SNaX by calculating the ratio of incremental variable costs to incremental program efficacy outcomes at 5 weeks, per student, as compared to the control group (Table 2). Over the duration of the intervention, the investment of $2.11 per student (variable cost per student) resulted in simultaneous mean increases of 1.75 fruit servings being served, 1.25 lunches being served, and 1.25 fewer snacks sold, per student. These simultaneous improvements in consumption behaviors were also analyzed on a per-outcome basis, with costs calculated for each outcome as if it were the only one achieved by the program. In this case, a given incremental cost was associated with a given improvement in outcome; because there are multiple outcomes, that same incremental cost was associated with improvements in multiple outcomes. Over five weeks, the cost-effectiveness of the program, per student, was $1.20 per additional fruit served during meals, $8.43 per additional full priced lunch served, $2.11 per additional free/reduced-priced lunch served, and $1.69 per reduction in snacks sold. As an example for interpretive purposes, each student, on average, ate 1.75 more fruits over the five-week period; achieving this goal, per student, therefore cost $1.20 per fruit consumed. Cost-effectiveness ratios are summarized in Table 2, along with estimates of the average cost per student for different outcomes."
Results,Sensitivity Analysis,,"In an analysis using national estimates for cost inputs, total fixed costs were $4,307.18 and total variable costs were $2,342.60 for 1,520 students, or $1.54 per student. Combining fixed and variable costs, the program cost a total of $6,649.78, or an average of $4.37 per student over five weeks. The cost-effectiveness of the program was comparable to our primary analysis (Appendix Tables 2 and 3)."
Discussion,,,"We found that implementing SNaX at a school for five weeks would cost $5,433.26 in fixed costs and $2.11 per-student in variable costs. This investment resulted in simultaneous improvements in fruit selection and school lunch participation, and a reduction in snack sales. On a per-outcome basis, with each outcome treated as if it were the only outcome of the program, the cost-effectiveness of the program ranged from $1.20 per additional fruit serving to $8.43 for each additional full priced lunch. These estimates may be considered to be reasonable fixed and variable costs for many medium-to-large schools considering implementing the program, and for government bodies or foundations considering subsidizing its cost. Although we implemented SNaX over five weeks for research purposes, the program can be extended through the school year with comparable variable costs and cost-effectiveness.
Recent data suggest that rates of childhood obesity are falling in some states in the US,27 but nearly one-third of children aged between 6 and 19 years—approximately 24 million children total—remain obese or overweight.28,29 These children are at higher risk of obesity-related illnesses as adults, including coronary heart disease, diabetes, and hypertension.30–32 Moreover, because dietary choices during childhood track into adulthood, during which poor fruit and vegetable consumption is associated with obesity, early dietary habits have long-term consequences.33 In addition to the morbidity and mortality of these illnesses, they have also been found to be responsible for an economic burden in the United States that currently exceeds $190 billion annually34; the international economic burden is also substantial.35 For these reasons, tremendous public and private investment has targeted the development of effective obesity prevention programs. SNaX was designed to promote healthy lifestyles and reduce obesity rates through the consumption of healthy school cafeteria foods and greater awareness of healthy choices.
In the context of school-based health interventions, the findings of our economic evaluation of SNaX are comparable to findings from other economic evaluations of obesity prevention interventions, though few have been performed. In a 2003 analysis of the cost-effectiveness of the school-based intervention Planet Health, the intervention cost was $33,677 or $14 per student per year using average costs (compared to our estimate of about $8,637.17 or $5.68 per student over five weeks).17 Though SNaX was implemented over a shorter period of time, we assessed efficacy outcomes both during and after the completion of SNaX. These post-intervention outcomes, reported elsewhere,22 were similar to our main findings, supporting the conclusion that the intervention yielded durable effects. In particular, post-intervention outcomes were measured approximately three weeks after program completion and showed persistent program effects on full-priced lunches served, free/reduced-priced lunches served, and snacks sold (p<0.01 for all). There was also a nonsignificant difference in fruits served (p<0.10).22 These downstream effects would also tend to make the program more economically favorable, and could be incorporated in a more comprehensive analysis.
Recent data also suggest that programs and policies that limit sales of unhealthy snacks and beverages in schools may not only improve children’s health but can also increase school food service revenues in some scenarios, such as when the purchase of lunch meals increases.4,18 Though our intervention was not designed to limit access to unhealthy snacks and beverages, we considered cafeteria meals an outcome rather than a cost so did not estimate the impact of SNaX on overall school budgets. This calculation is also more complex for schools participating in our study because the portion of students eligible for NSLP free and reduced-price meals was high.
The principal limitations of our study are that the study included a small number of schools and it was conducted in a single school district. These limitations affect the generalizability of our cost estimates and the degree to which our efficacy outcomes are representative of schools in other areas. In addition, the cost of promotional and multimedia items in SNaX may not be representative of prices from large vendors or bulk purchases, which may reduce the program’s cost. (We provided cost estimates based on more nationally representative sources in the appendix.) Another important limitation is that we were unable to incorporate the potential effect of SNaX on overweight and obesity incidence in adolescents. Although other studies suggest that the availability of healthy food choices in schools reduces the incidence of obesity,9–12 we cannot estimate the magnitude of effect from our study.
In conclusion, SNaX demonstrated the feasibility and sustained efficacy of a middle-school-based obesity-prevention intervention combining school-wide environmental changes, multimedia, encouragement to eat healthy school cafeteria foods, and peer-led education. The fixed and variable costs of the intervention may not be prohibitive barriers to its adoption and diffusion for many schools considering its implementation. The program also appears to be cost-effective across several measures of behavior change."
What’s New.,,,"SNaX demonstrated the feasibility and cost-effectiveness of a middle-school-based obesity-prevention intervention combining school-wide environmental changes, multimedia, encouragement to eat healthy school cafeteria foods, and peer-led education. Program aims were achieved at a cost of $0.23 per student per day."
